Source URL,AEM Path,Status,Title,Description,Category,Canonical,Keywords,Image,Template,Brand
"https://www.leica-microsystems.com/products/light-microscopes/p/leica-dm2700-m/","/content/EMA_SAMPLE_PROJECT/en/products/light-microscopes/p/leica-dm2700-m","Success","DM2700 Upright Materials Microscope","Upright Materials Microscope with Universal LED Illumination","Products","https://www.leica-microsystems.com/products/light-microscopes/p/leica-dm2700-m/","DM2700","https://www.leica-microsystems.com/fileadmin/global/products/Light/Leica_DM2700_M_Upright-Materials-Microscope_list.jpg","pdp",""
"https://www.leica-microsystems.com/products/light-microscopes/p/visoria-b/","/content/EMA_SAMPLE_PROJECT/en/products/light-microscopes/p/visoria-b","Success","Visoria B Laboratory Microscope","Visoria B laboratory microscope is for applications performed in life science and clinical laboratories. Experience enhanced efficiency and comfort in your daily microscopy routine.","Products","https://www.leica-microsystems.com/products/light-microscopes/p/visoria-b/","Visoria B","https://www.leica-microsystems.com/fileadmin/user_upload/Visoria-B-Lab-Microscope.jpg","pdp",""
"https://www.leica-microsystems.com/products/light-microscopes/p/visoria-m/","/content/EMA_SAMPLE_PROJECT/en/products/light-microscopes/p/visoria-m","Success","Visoria M Materials Microscope","Visoria M materials microscope is for applications performed in the metal, electronics, and polymer industries as well as for materials science labs. Experience enhanced efficiency and comfort in your","Products","https://www.leica-microsystems.com/products/light-microscopes/p/visoria-m/","Visoria M","https://www.leica-microsystems.com/fileadmin/global/products/Light/visoria/Visoria-M-Materials-Microscope.jpg","pdp",""
"https://www.leica-microsystems.com/products/light-microscopes/p/visoria-p/","/content/EMA_SAMPLE_PROJECT/en/products/light-microscopes/p/visoria-p","Success","Visoria P Polarization Microscope","Visoria P polarization microscope uses polarized light to study the optical properties of materials and geological samples. Experience enhanced efficiency and comfort in your daily microscopy routine.","Products","https://www.leica-microsystems.com/products/light-microscopes/p/visoria-p/","Visoria P","https://www.leica-microsystems.com/fileadmin/global/products/Light/visoria/Leica-VisoriaP-Polarization-Microscope.jpg","pdp",""
"https://www.leica-microsystems.com/products/p/viventis-deep/","/content/EMA_SAMPLE_PROJECT/en/products/p/viventis-deep","Success","Viventis Deep Dual View Light Sheet Microscope","Dual View Light Sheet Microscope for large deep volumetric imaging","Products","https://www.leica-microsystems.com/products/p/viventis-deep/","Viventis Deep","https://www.leica-microsystems.com/fileadmin/user_upload/Viventis-Deep-LeicaMicrosystems.jpg","pdp",""
"https://www.leica-microsystems.com/products/microscope-cameras/p/flexacam-c3/","/content/EMA_SAMPLE_PROJECT/en/products/microscope-cameras/p/flexacam-c3","Success","Flexacam C3 12 MP Microscope Camera","12 MP microscope camera - Simplicity, color accuracy, and real-time collaboration","Products","https://www.leica-microsystems.com/products/microscope-cameras/p/flexacam-c3/","Flexacam C3","https://www.leica-microsystems.com/fileadmin/global/products/Cameras/Flexacam_C3/Flexacam_C3_Product-image_list.jpg","pdp",""
"https://www.leica-microsystems.com/products/microscope-cameras/p/flexacam-c5-i5/","/content/EMA_SAMPLE_PROJECT/en/products/microscope-cameras/p/flexacam-c5-i5","Success","Flexacam c5 & i5 Microscope Cameras","With Flexacam microscope cameras, you can reveal more sample insights and work the way that meets your needs. Learn more!","Products","https://www.leica-microsystems.com/products/microscope-cameras/p/flexacam-c5-i5/","Microscope Camera, precise colors, high resolution, Viewing, documenting, sharing","https://www.leica-microsystems.com/fileadmin/content_excellence/products/flexacam-c5_i5/Flexacam-c5_i5_cutout_2.jpg","pdp",""
"https://www.leica-microsystems.com/products/microscope-cameras/p/k3-m/","/content/EMA_SAMPLE_PROJECT/en/products/microscope-cameras/p/k3-m","Success","K3C & K3M The Microscope Camera K3 series","Microscope cameras to image a vast range of challenging samples with color-brightfield and fluorescence microscopy with well-balanced feature set with high frame rates, very good dynamic range, and ex","Products","https://www.leica-microsystems.com/products/microscope-cameras/p/k3-m/","Microscope Camera, K3C, K3M, Life Science, Industry","https://www.leica-microsystems.com/fileadmin/_processed_/5/b/csm_K3_Product-image_list_dd4bd98576.jpg","pdp",""
"https://www.leica-microsystems.com/products/microscope-cameras/p/k5c/","/content/EMA_SAMPLE_PROJECT/en/products/microscope-cameras/p/k5c","Success","K5C The Color CMOS Camera","The K5C color CMOS microscope camera from Leica Microsystems enables materials and life science research experts to distinguish, study and document the small details in high resolution.","Products","https://www.leica-microsystems.com/products/microscope-cameras/p/k5c/","K5C","https://www.leica-microsystems.com/fileadmin/global/products/Cameras/K5C/K5C_Microscope_Camera_list.jpg","pdp",""
"https://www.leica-microsystems.com/products/microscope-cameras/p/k5/","/content/EMA_SAMPLE_PROJECT/en/products/microscope-cameras/p/k5","Success","K5 sCMOS Microscope Camera","Momochromatic fluorescent camera that enables high end imaging for routine applications","Products","https://www.leica-microsystems.com/products/microscope-cameras/p/k5/","K5","https://www.leica-microsystems.com/fileadmin/global/products/Cameras/K5/Microscope-Camera_K5_list.jpg","pdp",""
